,Dataset,Size,Number of Batches,Image Size,Sequence Size,Label Size,Label Type,Text Type,Labels
0,Train,487,122,"[torch.Size([4, 3, 224, 224])]","[torch.Size([4, 196])]",[torch.Size([4])],[torch.int64],[torch.int64],"[tensor([0, 1])]"
1,Test,162,41,"[torch.Size([4, 3, 224, 224])]","[torch.Size([4, 196])]",[torch.Size([4])],[torch.int64],[torch.int64],"[tensor([0, 1])]"
